Primary-general indicator,Candidate ID,Chamber Endorsed?,Main Street Endorsed?,Tea Party Endorsed?,House Freedom Support?,Koch Support?,Club for Growth Endorsed?,Susan B. Anthony Endorsed?,Right to Life Endorsed?,NRA Endorsed?,Great America Endorsed?,Bannon Endorsed?,Trump Endorsed?,Rep Party Support?,No Labels Support?,VoteVets Endorsed?,WFP Endorsed?,Indivisible Endorsed?,PCCC Endorsed?,Justice Dems Endorsed?,Our Revolution Endorsed?,Sanders Endorsed?,Warren Endorsed? ,Biden Endorsed?,Guns Sense Candidate?,Emily Endorsed?,Party Support?,Obama Alum?,STEM?,Self-Funder?,Elected Official?,LGBTQ?,Veteran?,Race,Won Primary,Primary %,Partisan Lean,General Status,Primary Runoff Status,Primary Status,Race Primary Election Date,Race Type,Office Type,District,State,Largest Donation Size
P2018,H8TX14120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,Nonwhite,1,79.83000200000002,-22.33,On the Ballot,0,1,3/6/18,Regular,Representative,U.S. House Texas District 14,TX,1000
P2018,H2MI11133,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,0.0,0,0,0,8/7/18,Regular,Representative,U.S. House Michigan District 11,MI,24
P2018,H8NH02283,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9,0.0,0,0,0,9/11/18,Regular,Representative,U.S. House New Hampshire District 2,NH,5000
P2018,S8WV00150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.97,0.0,0,0,0,5/8/18,Regular,Senator,U.S. Senate West Virginia,WV,680966
P2018,H8PA11061,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.16,0.0,0,0,0,5/15/18,Regular,Representative,U.S. House Pennsylvania District 13,PA,106265
P2018,H8OR04142,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.62,0.0,0,0,0,5/15/18,Regular,Representative,U.S. House Oregon District 4,OR,215
P2018,H8GA07201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,White,1,27.280001,-12.73,On the Ballot,1,1,5/22/18,Regular,Representative,U.S. House Georgia District 7,GA,5000
P2018,S8ME00130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,0.0,On the Ballot,0,1,6/12/18,Regular,Senator,U.S. Senate Maine,ME,19376
P2018,S8IN00171,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.17,0.0,On the Ballot,0,1,5/8/18,Regular,Senator,U.S. Senate Indiana,IN,329920
P2018,H8SC04342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.95,0.0,0,0,1,6/12/18,Regular,Representative,U.S. House South Carolina District 4,SC,12824
P2018,H8NY22151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,100.0,-14.26,On the Ballot,0,1,6/26/18,Regular,Representative,U.S. House New York District 22,NY,5000
P2018,H8IL14166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,White,0,13.4,-7.96,0,0,0,3/20/18,Regular,Representative,U.S. House Illinois District 14,IL,2000
P2018,H8WA05193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,White,1,0.0,-14.81,On the Ballot,0,1,8/7/18,Regular,Representative,U.S. House Washington District 5,WA,5000
P2018,H8PA15260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.51,0.0,0,0,0,5/15/18,Regular,Representative,U.S. House Pennsylvania District 7,PA,11157
P2018,H8TX27072,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.09,0.0,0,0,1,3/6/18,Regular,Representative,U.S. House Texas District 27,TX,5000
